FANTASYCALC DYNASTY VALUES - 10 TEAM, 1QB, 1.0 PPR
Pulled: 2026-05-08
Source: https://api.fantasycalc.com/values/current?isDynasty=true&numQbs=1&numTeams=10&ppr=1
Total entries: 462

Columns: OverallRank | PosRank | Player | Pos | Team | Age | YOE | Value | Trend30D | RedraftValue | Tier | TradeFreq
 127 |  38 | Jonathon Brooks              | RB  | CAR  |  22.8 |   2 |   1683 |   -110 |    293 |   29 |  0.0124
 128 |  39 | Jacory Croskey-Merritt       | RB  | WAS  |  25.1 |   1 |   1681 |    267 |    615 |   29 |   0.012
 129 |  20 | Tyler Shough                 | QB  | NO   |  26.6 |   1 |   1680 |     87 |    214 |   29 |  0.0119
 130 |  40 | Kaytron Allen                | RB  | WAS  |  23.3 |   0 |   1665 |    187 |    346 |   29 |  0.0098
 131 |  21 | Jared Goff                   | QB  | DET  |  31.6 |  10 |   1658 |    -59 |    462 |   29 |  0.0078
 132 |  56 | Courtland Sutton             | WR  | DEN  |  30.6 |   8 |   1641 |    -99 |   1047 |   29 |    0.01
 133 |  57 | Quentin Johnston             | WR  | LAC  |  24.7 |   3 |   1638 |    -37 |    224 |   29 |  0.0089
 134 |  25 | 2026 Pick 2.08               | PICK | FA   |     ? |   ? |   1632 |    400 |      0 |   29 |        
 134 |  41 | Rhamondre Stevenson          | RB  | NE   |  28.2 |   5 |   1632 |    -73 |   1185 |   29 |  0.0106
 135 |  58 | Romeo Doubs                  | WR  | NE   |  26.1 |   4 |   1629 |   -191 |    355 |   29 |  0.0091
 136 |  42 | Rachaad White                | RB  | WAS  |  27.3 |   4 |   1621 |     91 |    966 |   29 |  0.0092
 137 |  43 | Tony Pollard                 | RB  | TEN  |    29 |   7 |   1609 |    122 |   1320 |   29 |  0.0104
 138 |  59 | Chris Godwin                 | WR  | TB   |  30.2 |   9 |   1602 |     72 |    893 |   29 |  0.0102
 139 |  60 | De'Zhaun Stribling           | WR  | SF   |  23.4 |   0 |   1587 |   1609 |    117 |   30 |  0.0099
 140 |  61 | Elijah Sarratt               | WR  | BAL  |    23 |   0 |   1579 |   -101 |     93 |   30 |  0.0098
 141 |  26 | 2026 Pick 2.09               | PICK | FA   |     ? |   ? |   1575 |    391 |      0 |   30 |        
 141 |  22 | Sam Darnold                  | QB  | SEA  |  28.9 |   8 |   1575 |     22 |    247 |   30 |  0.0091
 142 |  44 | Kenneth Gainwell             | RB  | TB   |  27.2 |   5 |   1553 |    -24 |    795 |   30 |  0.0087
 143 |  23 | Kyler Murray                 | QB  | MIN  |  28.8 |   7 |   1549 |    -75 |    218 |   30 |  0.0129
 144 |  16 | Mark Andrews                 | TE  | BAL  |  30.7 |   8 |   1537 |    149 |    621 |   30 |  0.0073
 145 |  45 | Jordan Mason                 | RB  | MIN  |    27 |   4 |   1526 |    111 |    705 |   30 |  0.0097
 146 |  27 | 2026 Pick 2.10               | PICK | FA   |     ? |   ? |   1523 |    383 |      0 |   30 |        
 146 |  28 | 2027 2nd                     | PICK | FA   |     ? |   ? |   1517 |     34 |      0 |   30 |        
 146 |  46 | Mike Washington              | RB  | LV   |  22.9 |   0 |   1512 |   -652 |    176 |   30 |  0.0099
 147 |  47 | Isiah Pacheco                | RB  | DET  |  27.2 |   4 |   1507 |     68 |    711 |   30 |  0.0081
 148 |  48 | Tyrone Tracy                 | RB  | NYG  |  26.5 |   2 |   1483 |    350 |    554 |   31 |  0.0078
 149 |  29 | 2026 Pick 2.11               | PICK | FA   |     ? |   ? |   1474 |    375 |      0 |   31 |        
 149 |  62 | Zachariah Branch             | WR  | ATL  |  22.1 |   0 |   1471 |   -134 |     23 |   31 |  0.0098
 150 |  63 | Ted Hurst                    | WR  | TB   |  21.9 |   0 |   1446 |    144 |      9 |   31 |  0.0098
 151 |  24 | Bryce Young                  | QB  | CAR  |  24.8 |   3 |   1446 |    -88 |     56 |   31 |  0.0102
 152 |  64 | Malachi Fields               | WR  | NYG  |  22.7 |   0 |   1439 |     43 |     33 |   31 |  0.0098
 153 |  49 | Tyler Allgeier               | RB  | ARI  |  26.1 |   4 |   1438 |   -588 |    441 |   31 |  0.0098
 154 |  50 | Woody Marks                  | RB  | HOU  |  25.4 |   1 |   1429 |     25 |    352 |   31 |  0.0091
 155 |  30 | 2026 Pick 2.12               | PICK | FA   |     ? |   ? |   1428 |    367 |      0 |   31 |        
 155 |  65 | Jalen Coker                  | WR  | CAR  |  24.5 |   2 |   1422 |    -45 |    107 |   31 |  0.0081
 156 |  51 | Dylan Sampson                | RB  | CLE  |  21.7 |   1 |   1416 |    -44 |     64 |   31 |  0.0068
 157 |  52 | Braelon Allen                | RB  | NYJ  |  22.3 |   2 |   1409 |     13 |    100 |   32 |  0.0076
 158 |  17 | AJ Barner                    | TE  | SEA  |    24 |   2 |   1404 |     65 |     41 |   32 |  0.0077
 159 |  18 | T.J. Hockenson               | TE  | MIN  |  28.9 |   7 |   1403 |    -31 |    282 |   32 |  0.0078
 160 |  53 | Chris Rodriguez              | RB  | JAX  |  26.6 |   3 |   1402 |     25 |    462 |   32 |  0.0083
 161 |  19 | Travis Kelce                 | TE  | KC   |  36.6 |  13 |   1397 |     56 |   1168 |   32 |  0.0101
 162 |  25 | Daniel Jones                 | QB  | IND  |    29 |   7 |   1392 |    -28 |    133 |   32 |  0.0063
 163 |  66 | Khalil Shakir                | WR  | BUF  |  26.3 |   4 |   1385 |    -33 |    169 |   32 |  0.0072
 164 |  31 | 2026 Pick 3.01               | PICK | FA   |     ? |   ? |   1383 |    358 |      0 |   32 |        
 164 |  67 | Chris Brazzell               | WR  | CAR  |  22.6 |   0 |   1374 |   -260 |     15 |   32 |  0.0097
 165 |  20 | Chig Okonkwo                 | TE  | WAS  |  26.7 |   4 |   1367 |   -123 |    130 |   32 |  0.0084
 166 |  68 | Jalen McMillan               | WR  | TB   |  24.4 |   2 |   1364 |   -167 |     76 |   32 |  0.0056
 167 |  69 | Brandon Aiyuk                | WR  | SF   |  28.2 |   6 |   1363 |   -187 |    288 |   32 |  0.0067
 168 |  21 | Brenton Strange              | TE  | JAX  |  25.4 |   3 |   1356 |   -180 |     73 |   32 |  0.0076
 169 |  32 | 2026 Pick 3.02               | PICK | FA   |     ? |   ? |   1343 |    351 |      0 |   32 |        
 169 |  54 | Tank Bigsby                  | RB  | PHI  |  23.7 |   3 |   1327 |     71 |    132 |   33 |  0.0057
 170 |  55 | Tyjae Spears                 | RB  | TEN  |  24.9 |   3 |   1327 |    295 |    209 |   33 |  0.0066
 171 |  70 | Rashid Shaheed               | WR  | SEA  |  27.7 |   4 |   1326 |     23 |    220 |   33 |   0.007
 172 |  26 | Malik Willis                 | QB  | MIA  |    27 |   4 |   1321 |     19 |     56 |   33 |  0.0143
 173 |  71 | Jauan Jennings               | WR  | FA   |  28.8 |   6 |   1321 |    302 |    303 |   33 |    0.01
 174 |  33 | 2028 2nd                     | PICK | FA   |     ? |   ? |   1318 |     50 |      0 |   33 |        
 174 |  56 | Brian Robinson               | RB  | ATL  |  27.1 |   4 |   1318 |    -52 |    414 |   33 |  0.0077
 175 |  27 | Ty Simpson                   | QB  | LAR  |  23.4 |   0 |   1316 |    137 |      0 |   33 |  0.0098
 176 |  72 | Skyler Bell                  | WR  | BUF  |  23.9 |   0 |   1306 |     59 |     33 |   33 |  0.0095
 177 |  57 | Kaleb Johnson                | RB  | PIT  |  22.7 |   1 |   1306 |   -132 |     75 |   33 |  0.0062
 178 |  34 | 2026 Pick 3.03               | PICK | FA   |     ? |   ? |   1304 |    344 |      0 |   33 |        
 178 |  73 | Ja'Kobi Lane                 | WR  | BAL  |    22 |   0 |   1304 |   -131 |      0 |   33 |  0.0097
 179 |  22 | Dallas Goedert               | TE  | PHI  |  31.4 |   8 |   1274 |   -133 |    336 |   33 |  0.0058
 180 |  28 | Matthew Stafford             | QB  | LAR  |  38.3 |  17 |   1274 |     24 |    360 |   33 |  0.0085
 181 |  58 | Alvin Kamara                 | RB  | NO   |  30.8 |   9 |   1273 |     46 |    833 |   33 |  0.0087
 182 |  35 | 2029 2nd                     | PICK | FA   |     ? |   ? |   1271 |    -20 |      0 |   33 |        
 182 |  36 | 2026 Pick 3.04               | PICK | FA   |     ? |   ? |   1268 |    337 |      0 |   33 |        
 182 |  59 | Demond Claiborne             | RB  | MIN  |  22.6 |   0 |   1265 |   -186 |     51 |   33 |  0.0092
 183 |  60 | Aaron Jones                  | RB  | MIN  |  31.5 |   9 |   1256 |     15 |    896 |   33 |   0.008
